Strategy,Total,Pit in Laps
2-stop H→H→M   ,87:05.695,"[37, 50]"
2-stop M→M→H   ,87:05.697,"[10, 24]"
2-stop M→M→H   ,87:05.697,"[14, 24]"
2-stop M→H→M   ,87:05.697,"[10, 52]"
2-stop M→H→M   ,87:05.697,"[14, 56]"
2-stop H→M→M   ,87:05.697,"[42, 52]"
2-stop H→M→M   ,87:05.697,"[42, 56]"
2-stop M→H→H   ,87:05.705,"[36, 44]"
2-stop M→H→H   ,87:05.705,"[36, 58]"
2-stop H→M→H   ,87:05.705,"[8, 44]"
2-stop H→M→H   ,87:05.705,"[22, 58]"
2-stop H→H→M   ,87:05.705,"[8, 30]"
2-stop H→H→M   ,87:05.705,"[22, 30]"
2-stop S→M→H   ,87:05.707,"[16, 61]"
2-stop S→H→M   ,87:05.707,"[16, 21]"
2-stop M→S→H   ,87:05.707,"[45, 61]"
2-stop M→H→S   ,87:05.707,"[45, 50]"
2-stop H→S→M   ,87:05.707,"[5, 21]"
2-stop H→M→S   ,87:05.707,"[5, 50]"
2-stop M→H→H   ,87:05.711,"[30, 32]"
2-stop M→H→H   ,87:05.711,"[30, 64]"
2-stop H→M→H   ,87:05.711,"[2, 32]"
2-stop H→M→H   ,87:05.711,"[34, 64]"
2-stop H→H→M   ,87:05.711,"[2, 36]"
2-stop H→H→M   ,87:05.711,"[34, 36]"
2-stop S→S→H   ,87:05.714,"[15, 59]"
2-stop S→S→H   ,87:05.714,"[44, 59]"
2-stop S→H→S   ,87:05.714,"[15, 22]"
2-stop S→H→S   ,87:05.714,"[44, 51]"
2-stop H→S→S   ,87:05.714,"[7, 22]"
2-stop H→S→S   ,87:05.714,"[7, 51]"
2-stop M→M→H   ,87:05.725,"[4, 40]"
2-stop M→M→H   ,87:05.725,"[36, 40]"
2-stop M→H→M   ,87:05.725,"[4, 30]"
2-stop M→H→M   ,87:05.725,"[36, 62]"
2-stop H→M→M   ,87:05.725,"[26, 30]"
2-stop H→M→M   ,87:05.725,"[26, 62]"
2-stop M→H→H   ,87:05.727,"[29, 31]"
2-stop M→H→H   ,87:05.727,"[29, 64]"
2-stop H→M→H   ,87:05.727,"[2, 31]"
2-stop H→M→H   ,87:05.727,"[35, 64]"
2-stop H→H→M   ,87:05.727,"[2, 37]"
2-stop H→H→M   ,87:05.727,"[35, 37]"
2-stop S→M→H   ,87:05.730,"[7, 21]"
2-stop S→H→M   ,87:05.730,"[7, 52]"
2-stop M→S→H   ,87:05.730,"[14, 21]"
2-stop M→H→S   ,87:05.730,"[14, 59]"
2-stop H→S→M   ,87:05.730,"[45, 52]"
2-stop H→M→S   ,87:05.730,"[45, 59]"
2-stop S→M→H   ,87:05.750,"[3, 40]"
2-stop S→H→M   ,87:05.750,"[3, 29]"
2-stop M→S→H   ,87:05.750,"[37, 40]"
2-stop M→H→S   ,87:05.750,"[37, 63]"
2-stop H→S→M   ,87:05.750,"[26, 29]"
2-stop H→M→S   ,87:05.750,"[26, 63]"
2-stop S→M→H   ,87:05.751,"[1, 33]"
2-stop S→H→M   ,87:05.751,"[1, 34]"
2-stop M→S→H   ,87:05.751,"[32, 33]"
2-stop M→H→S   ,87:05.751,"[32, 65]"
2-stop H→S→M   ,87:05.751,"[33, 34]"
2-stop H→M→S   ,87:05.751,"[33, 65]"
2-stop S→H→H   ,87:05.758,"[38, 43]"
2-stop S→H→H   ,87:05.758,"[38, 61]"
2-stop H→S→H   ,87:05.758,"[5, 43]"
2-stop H→S→H   ,87:05.758,"[23, 61]"
2-stop H→H→S   ,87:05.758,"[5, 28]"
2-stop H→H→S   ,87:05.758,"[23, 28]"
2-stop M→M→H   ,87:05.761,"[2, 28]"
2-stop M→M→H   ,87:05.761,"[26, 28]"
2-stop M→H→M   ,87:05.761,"[2, 40]"
2-stop M→H→M   ,87:05.761,"[26, 64]"
2-stop H→M→M   ,87:05.761,"[38, 40]"
2-stop H→M→M   ,87:05.761,"[38, 64]"
2-stop M→M→H   ,87:05.763,"[4, 26]"
2-stop M→M→H   ,87:05.763,"[22, 26]"
2-stop M→H→M   ,87:05.763,"[4, 44]"
2-stop M→H→M   ,87:05.763,"[22, 62]"
2-stop H→M→M   ,87:05.763,"[40, 44]"
2-stop H→M→M   ,87:05.763,"[40, 62]"
2-stop S→M→H   ,87:05.764,"[39, 44]"
2-stop S→H→M   ,87:05.764,"[39, 61]"
2-stop M→S→H   ,87:05.764,"[5, 44]"
2-stop M→H→S   ,87:05.764,"[5, 27]"
2-stop H→S→M   ,87:05.764,"[22, 61]"
2-stop H→M→S   ,87:05.764,"[22, 27]"
2-stop M→H→H   ,87:05.769,"[20, 28]"
2-stop M→H→H   ,87:05.769,"[20, 58]"
2-stop H→M→H   ,87:05.769,"[8, 28]"
2-stop H→M→H   ,87:05.769,"[38, 58]"
2-stop H→H→M   ,87:05.769,"[8, 46]"
2-stop H→H→M   ,87:05.769,"[38, 46]"
2-stop M→H→H   ,87:05.775,"[21, 28]"
2-stop M→H→H   ,87:05.775,"[21, 59]"
2-stop H→M→H   ,87:05.775,"[7, 28]"
2-stop H→M→H   ,87:05.775,"[38, 59]"
2-stop H→H→M   ,87:05.775,"[7, 45]"
2-stop H→H→M   ,87:05.775,"[38, 45]"
2-stop M→H→H   ,87:05.785,"[26, 29]"
2-stop M→H→H   ,87:05.785,"[26, 63]"
2-stop H→M→H   ,87:05.785,"[3, 29]"
2-stop H→M→H   ,87:05.785,"[37, 63]"
2-stop H→H→M   ,87:05.785,"[3, 40]"
2-stop H→H→M   ,87:05.785,"[37, 40]"
2-stop S→M→H   ,87:05.795,"[41, 65]"
2-stop S→H→M   ,87:05.795,"[41, 42]"
2-stop M→S→H   ,87:05.795,"[24, 65]"
2-stop M→H→S   ,87:05.795,"[24, 25]"
2-stop H→S→M   ,87:05.795,"[1, 42]"
2-stop H→M→S   ,87:05.795,"[1, 25]"
2-stop S→M→H   ,87:05.797,"[9, 20]"
2-stop S→H→M   ,87:05.797,"[9, 55]"
2-stop M→S→H   ,87:05.797,"[11, 20]"
2-stop M→H→S   ,87:05.797,"[11, 57]"
2-stop H→S→M   ,87:05.797,"[46, 55]"
2-stop H→M→S   ,87:05.797,"[46, 57]"
2-stop M→H→H   ,87:05.803,"[34, 38]"
2-stop M→H→H   ,87:05.803,"[34, 62]"
2-stop H→M→H   ,87:05.803,"[4, 38]"
2-stop H→M→H   ,87:05.803,"[28, 62]"
2-stop H→H→M   ,87:05.803,"[4, 32]"
2-stop H→H→M   ,87:05.803,"[28, 32]"
2-stop M→H→H   ,87:05.807,"[37, 51]"
2-stop M→H→H   ,87:05.807,"[37, 52]"
2-stop H→M→H   ,87:05.807,"[14, 51]"
2-stop H→M→H   ,87:05.807,"[15, 52]"
2-stop H→H→M   ,87:05.807,"[14, 29]"
2-stop H→H→M   ,87:05.807,"[15, 29]"
2-stop M→H→H   ,87:05.807,"[13, 31]"
2-stop M→H→H   ,87:05.807,"[13, 48]"
2-stop H→M→H   ,87:05.807,"[18, 31]"
2-stop H→M→H   ,87:05.807,"[35, 48]"
2-stop H→H→M   ,87:05.807,"[18, 53]"
2-stop H→H→M   ,87:05.807,"[35, 53]"
2-stop M→H→H   ,87:05.809,"[11, 35]"
2-stop M→H→H   ,87:05.809,"[11, 42]"
2-stop H→M→H   ,87:05.809,"[24, 35]"
2-stop H→M→H   ,87:05.809,"[31, 42]"
2-stop H→H→M   ,87:05.809,"[24, 55]"
2-stop H→H→M   ,87:05.809,"[31, 55]"
2-stop M→H→H   ,87:05.813,"[19, 28]"
2-stop M→H→H   ,87:05.813,"[19, 57]"
2-stop H→M→H   ,87:05.813,"[9, 28]"
2-stop H→M→H   ,87:05.813,"[38, 57]"
2-stop H→H→M   ,87:05.813,"[9, 47]"
2-stop H→H→M   ,87:05.813,"[38, 47]"
2-stop M→H→H   ,87:05.815,"[14, 30]"
2-stop M→H→H   ,87:05.815,"[14, 50]"
2-stop H→M→H   ,87:05.815,"[16, 30]"
2-stop H→M→H   ,87:05.815,"[36, 50]"
2-stop H→H→M   ,87:05.815,"[16, 52]"
2-stop H→H→M   ,87:05.815,"[36, 52]"
2-stop S→S→M   ,87:05.821,"[9, 53]"
2-stop S→S→M   ,87:05.821,"[44, 53]"
2-stop S→M→S   ,87:05.821,"[9, 22]"
2-stop S→M→S   ,87:05.821,"[44, 57]"
2-stop M→S→S   ,87:05.821,"[13, 22]"
2-stop M→S→S   ,87:05.821,"[13, 57]"
2-stop M→H→H   ,87:05.825,"[31, 33]"
2-stop M→H→H   ,87:05.825,"[31, 64]"
2-stop H→M→H   ,87:05.825,"[2, 33]"
2-stop H→M→H   ,87:05.825,"[33, 64]"
2-stop H→H→M   ,87:05.825,"[2, 35]"
2-stop H→H→M   ,87:05.825,"[33, 35]"
2-stop S→M→H   ,87:05.825,"[41, 55]"
2-stop S→H→M   ,87:05.825,"[41, 52]"
2-stop M→S→H   ,87:05.825,"[14, 55]"
2-stop M→H→S   ,87:05.825,"[14, 25]"
2-stop H→S→M   ,87:05.825,"[11, 52]"
2-stop H→M→S   ,87:05.825,"[11, 25]"
2-stop M→M→H   ,87:05.827,"[3, 38]"
2-stop M→M→H   ,87:05.827,"[35, 38]"
2-stop M→H→M   ,87:05.827,"[3, 31]"
2-stop M→H→M   ,87:05.827,"[35, 63]"
2-stop M→H→H   ,87:05.827,"[33, 36]"
2-stop M→H→H   ,87:05.827,"[33, 63]"
2-stop H→M→M   ,87:05.827,"[28, 31]"
2-stop H→M→M   ,87:05.827,"[28, 63]"
2-stop H→M→H   ,87:05.827,"[3, 36]"
2-stop H→M→H   ,87:05.827,"[30, 63]"
2-stop H→H→M   ,87:05.827,"[3, 33]"
2-stop H→H→M   ,87:05.827,"[30, 33]"
2-stop M→H→H   ,87:05.831,"[22, 28]"
2-stop M→H→H   ,87:05.831,"[22, 60]"
2-stop H→M→H   ,87:05.831,"[6, 28]"
2-stop H→M→H   ,87:05.831,"[38, 60]"
2-stop H→H→M   ,87:05.831,"[6, 44]"
2-stop H→H→M   ,87:05.831,"[38, 44]"
2-stop S→S→M   ,87:05.832,"[1, 20]"
2-stop S→S→M   ,87:05.832,"[19, 20]"
2-stop S→M→S   ,87:05.832,"[1, 47]"
2-stop S→M→S   ,87:05.832,"[19, 65]"
2-stop M→S→S   ,87:05.832,"[46, 47]"
2-stop M→S→S   ,87:05.832,"[46, 65]"
2-stop S→H→H   ,87:05.836,"[7, 29]"
2-stop S→H→H   ,87:05.836,"[7, 44]"
2-stop H→S→H   ,87:05.836,"[22, 29]"
2-stop H→S→H   ,87:05.836,"[37, 44]"
2-stop H→H→S   ,87:05.836,"[22, 59]"
2-stop H→H→S   ,87:05.836,"[37, 59]"
2-stop M→M→H   ,87:05.837,"[9, 24]"
2-stop M→M→H   ,87:05.837,"[15, 24]"
2-stop M→H→M   ,87:05.837,"[9, 51]"
2-stop M→H→M   ,87:05.837,"[15, 57]"
2-stop H→M→M   ,87:05.837,"[42, 51]"
2-stop H→M→M   ,87:05.837,"[42, 57]"
2-stop M→M→H   ,87:05.847,"[5, 42]"
2-stop M→M→H   ,87:05.847,"[37, 42]"
2-stop M→H→M   ,87:05.847,"[5, 29]"
2-stop M→H→M   ,87:05.847,"[37, 61]"
2-stop H→M→M   ,87:05.847,"[24, 29]"
2-stop H→M→M   ,87:05.847,"[24, 61]"
2-stop S→S→H   ,87:05.849,"[11, 54]"
2-stop S→S→H   ,87:05.849,"[43, 54]"
2-stop S→H→S   ,87:05.849,"[11, 23]"
2-stop S→H→S   ,87:05.849,"[43, 55]"
2-stop H→S→S   ,87:05.849,"[12, 23]"
2-stop H→S→S   ,87:05.849,"[12, 55]"
2-stop M→H→H   ,87:05.851,"[37, 50]"
2-stop M→H→H   ,87:05.851,"[37, 53]"
2-stop H→M→H   ,87:05.851,"[13, 50]"
2-stop H→M→H   ,87:05.851,"[16, 53]"
2-stop H→H→M   ,87:05.851,"[13, 29]"
2-stop H→H→M   ,87:05.851,"[16, 29]"
2-stop S→H→H   ,87:05.873,"[8, 26]"
2-stop S→H→H   ,87:05.873,"[8, 48]"
2-stop M→H→H   ,87:05.873,"[28, 30]"
2-stop M→H→H   ,87:05.873,"[28, 64]"
2-stop H→S→H   ,87:05.873,"[18, 26]"
2-stop H→S→H   ,87:05.873,"[40, 48]"
2-stop H→M→H   ,87:05.873,"[2, 30]"
2-stop H→M→H   ,87:05.873,"[36, 64]"
2-stop H→H→S   ,87:05.873,"[18, 58]"
2-stop H→H→S   ,87:05.873,"[40, 58]"
2-stop H→H→M   ,87:05.873,"[2, 38]"
2-stop H→H→M   ,87:05.873,"[36, 38]"
2-stop S→H→H   ,87:05.884,"[10, 23]"
2-stop S→H→H   ,87:05.884,"[10, 53]"
2-stop H→S→H   ,87:05.884,"[13, 23]"
2-stop H→S→H   ,87:05.884,"[43, 53]"
2-stop H→H→S   ,87:05.884,"[13, 56]"
2-stop H→H→S   ,87:05.884,"[43, 56]"
2-stop S→S→M   ,87:05.906,"[5, 48]"
2-stop S→S→M   ,87:05.906,"[43, 48]"
2-stop S→M→S   ,87:05.906,"[5, 23]"
2-stop S→M→S   ,87:05.906,"[43, 61]"
2-stop M→S→S   ,87:05.906,"[18, 23]"
2-stop M→S→S   ,87:05.906,"[18, 61]"
2-stop M→H→H   ,87:05.907,"[18, 28]"
2-stop M→H→H   ,87:05.907,"[18, 56]"
2-stop H→M→H   ,87:05.907,"[10, 28]"
2-stop H→M→H   ,87:05.907,"[38, 56]"
2-stop H→H→M   ,87:05.907,"[10, 48]"
2-stop H→H→M   ,87:05.907,"[38, 48]"
2-stop S→H→H   ,87:05.912,"[14, 20]"
2-stop S→H→H   ,87:05.912,"[14, 60]"
2-stop H→S→H   ,87:05.912,"[6, 20]"
2-stop H→S→H   ,87:05.912,"[46, 60]"
2-stop H→H→S   ,87:05.912,"[6, 52]"
2-stop H→H→S   ,87:05.912,"[46, 52]"
2-stop S→H→H   ,87:05.914,"[11, 22]"
2-stop S→H→H   ,87:05.914,"[11, 55]"
2-stop H→S→H   ,87:05.914,"[11, 22]"
2-stop H→S→H   ,87:05.914,"[44, 55]"
2-stop H→H→S   ,87:05.914,"[11, 55]"
2-stop H→H→S   ,87:05.914,"[44, 55]"
2-stop S→M→H   ,87:05.917,"[40, 48]"
2-stop S→H→M   ,87:05.917,"[40, 58]"
2-stop M→S→H   ,87:05.917,"[8, 48]"
2-stop M→H→S   ,87:05.917,"[8, 26]"
2-stop H→S→M   ,87:05.917,"[18, 58]"
2-stop H→M→S   ,87:05.917,"[18, 26]"
1-stop M→H     ,87:05.927,[13]
1-stop H→M     ,87:05.927,[53]
2-stop S→M→H   ,87:05.927,"[12, 19]"
2-stop S→H→M   ,87:05.927,"[12, 59]"
2-stop M→S→H   ,87:05.927,"[7, 19]"
2-stop M→H→S   ,87:05.927,"[7, 54]"
2-stop H→S→M   ,87:05.927,"[47, 59]"
2-stop H→M→S   ,87:05.927,"[47, 54]"
2-stop M→H→H   ,87:05.937,"[12, 32]"
2-stop M→H→H   ,87:05.937,"[12, 46]"
2-stop M→H→H   ,87:05.937,"[23, 28]"
2-stop M→H→H   ,87:05.937,"[23, 61]"
2-stop H→M→H   ,87:05.937,"[5, 28]"
2-stop H→M→H   ,87:05.937,"[20, 32]"
2-stop H→M→H   ,87:05.937,"[34, 46]"
2-stop H→M→H   ,87:05.937,"[38, 61]"
2-stop H→H→M   ,87:05.937,"[5, 43]"
2-stop H→H→M   ,87:05.937,"[20, 54]"
2-stop H→H→M   ,87:05.937,"[34, 54]"
2-stop H→H→M   ,87:05.937,"[38, 43]"
2-stop M→H→H   ,87:05.939,"[37, 49]"
2-stop M→H→H   ,87:05.939,"[37, 54]"
2-stop H→M→H   ,87:05.939,"[12, 49]"
2-stop H→M→H   ,87:05.939,"[17, 54]"
2-stop H→H→M   ,87:05.939,"[12, 29]"
2-stop H→H→M   ,87:05.939,"[17, 29]"
2-stop S→M→H   ,87:05.941,"[1, 28]"
2-stop S→H→M   ,87:05.941,"[1, 39]"
2-stop M→S→H   ,87:05.941,"[27, 28]"
2-stop M→H→S   ,87:05.941,"[27, 65]"
2-stop H→S→M   ,87:05.941,"[38, 39]"
2-stop H→M→S   ,87:05.941,"[38, 65]"
2-stop S→S→H   ,87:05.954,"[6, 47]"
2-stop S→S→H   ,87:05.954,"[41, 47]"
2-stop S→H→S   ,87:05.954,"[6, 25]"
2-stop S→H→S   ,87:05.954,"[41, 60]"
2-stop H→S→S   ,87:05.954,"[19, 25]"
2-stop H→S→S   ,87:05.954,"[19, 60]"
2-stop M→H→H   ,87:05.961,"[15, 29]"
2-stop M→H→H   ,87:05.961,"[15, 52]"
2-stop H→M→H   ,87:05.961,"[14, 29]"
2-stop H→M→H   ,87:05.961,"[37, 52]"
2-stop H→H→M   ,87:05.961,"[14, 51]"
2-stop H→H→M   ,87:05.961,"[37, 51]"
2-stop S→M→M   ,87:05.970,"[42, 47]"
2-stop S→M→M   ,87:05.970,"[42, 61]"
2-stop M→S→M   ,87:05.970,"[5, 47]"
2-stop M→S→M   ,87:05.970,"[19, 61]"
2-stop M→M→S   ,87:05.970,"[5, 24]"
2-stop M→M→S   ,87:05.970,"[19, 24]"
2-stop S→M→H   ,87:05.982,"[10, 53]"
2-stop S→H→M   ,87:05.982,"[10, 23]"
2-stop M→S→H   ,87:05.982,"[43, 53]"
2-stop M→H→S   ,87:05.982,"[43, 56]"
2-stop H→S→M   ,87:05.982,"[13, 23]"
2-stop H→M→S   ,87:05.982,"[13, 56]"
2-stop M→H→H   ,87:05.985,"[11, 34]"
2-stop M→H→H   ,87:05.985,"[11, 43]"
2-stop H→M→H   ,87:05.985,"[23, 34]"
2-stop H→M→H   ,87:05.985,"[32, 43]"
2-stop H→H→M   ,87:05.985,"[23, 55]"
2-stop H→H→M   ,87:05.985,"[32, 55]"
2-stop S→M→H   ,87:05.991,"[4, 23]"
2-stop S→H→M   ,87:05.991,"[4, 47]"
2-stop M→S→H   ,87:05.991,"[19, 23]"
2-stop M→H→S   ,87:05.991,"[19, 62]"
2-stop H→S→M   ,87:05.991,"[43, 47]"
2-stop H→M→S   ,87:05.991,"[43, 62]"
2-stop S→H→H   ,87:05.993,"[37, 38]"
2-stop S→H→H   ,87:05.993,"[37, 65]"
2-stop H→S→H   ,87:05.993,"[1, 38]"
2-stop H→S→H   ,87:05.993,"[28, 65]"
2-stop H→H→S   ,87:05.993,"[1, 29]"
2-stop H→H→S   ,87:05.993,"[28, 29]"
2-stop M→H→H   ,87:05.997,"[35, 40]"
2-stop M→H→H   ,87:05.997,"[35, 61]"
2-stop H→M→H   ,87:05.997,"[5, 40]"
2-stop H→M→H   ,87:05.997,"[26, 61]"
2-stop H→H→M   ,87:05.997,"[5, 31]"
2-stop H→H→M   ,87:05.997,"[26, 31]"
2-stop S→M→M   ,87:06.002,"[10, 21]"
2-stop S→M→M   ,87:06.002,"[10, 55]"
2-stop M→S→M   ,87:06.002,"[11, 21]"
2-stop M→S→M   ,87:06.002,"[45, 55]"
2-stop M→M→S   ,87:06.002,"[11, 56]"
2-stop M→M→S   ,87:06.002,"[45, 56]"
2-stop S→H→H   ,87:06.032,"[6, 36]"
2-stop H→S→H   ,87:06.032,"[30, 36]"
2-stop H→H→S   ,87:06.032,"[30, 60]"
2-stop M→M→H   ,87:06.033,"[8, 24]"
2-stop M→M→H   ,87:06.033,"[16, 24]"
2-stop M→H→M   ,87:06.033,"[8, 50]"
2-stop M→H→M   ,87:06.033,"[16, 58]"
2-stop H→M→M   ,87:06.033,"[42, 50]"
2-stop H→M→M   ,87:06.033,"[42, 58]"
2-stop M→H→H   ,87:06.035,"[36, 43]"
2-stop M→H→H   ,87:06.035,"[36, 59]"
2-stop H→M→H   ,87:06.035,"[7, 43]"
2-stop H→M→H   ,87:06.035,"[23, 59]"
2-stop H→H→M   ,87:06.035,"[7, 30]"
2-stop H→H→M   ,87:06.035,"[23, 30]"
2-stop M→M→H   ,87:06.037,"[1, 31]"
2-stop M→M→H   ,87:06.037,"[30, 31]"
2-stop M→H→M   ,87:06.037,"[1, 36]"
2-stop M→H→M   ,87:06.037,"[30, 65]"
2-stop H→M→M   ,87:06.037,"[35, 36]"
2-stop H→M→M   ,87:06.037,"[35, 65]"
2-stop M→M→H   ,87:06.045,"[19, 60]"
2-stop M→M→H   ,87:06.045,"[41, 60]"
2-stop M→H→M   ,87:06.045,"[19, 25]"
2-stop M→H→M   ,87:06.045,"[41, 47]"
2-stop H→M→M   ,87:06.045,"[6, 25]"
2-stop H→M→M   ,87:06.045,"[6, 47]"
2-stop M→H→H   ,87:06.051,"[17, 28]"
2-stop M→H→H   ,87:06.051,"[17, 55]"
2-stop H→M→H   ,87:06.051,"[11, 28]"
2-stop H→M→H   ,87:06.051,"[38, 55]"
2-stop H→H→M   ,87:06.051,"[11, 49]"
2-stop H→H→M   ,87:06.051,"[38, 49]"
2-stop S→H→H   ,87:06.054,"[6, 35]"
2-stop S→H→H   ,87:06.054,"[6, 37]"
2-stop H→S→H   ,87:06.054,"[29, 35]"
2-stop H→S→H   ,87:06.054,"[31, 37]"
2-stop H→H→S   ,87:06.054,"[29, 60]"
2-stop H→H→S   ,87:06.054,"[31, 60]"
2-stop S→S→M   ,87:06.056,"[18, 63]"
2-stop S→S→M   ,87:06.056,"[45, 63]"
2-stop S→M→S   ,87:06.056,"[18, 21]"
2-stop S→M→S   ,87:06.056,"[45, 48]"
2-stop M→S→S   ,87:06.056,"[3, 21]"
2-stop M→S→S   ,87:06.056,"[3, 48]"
2-stop M→M→H   ,87:06.057,"[11, 51]"
2-stop M→M→H   ,87:06.057,"[40, 51]"
2-stop M→H→M   ,87:06.057,"[11, 26]"
2-stop M→H→M   ,87:06.057,"[40, 55]"
2-stop H→M→M   ,87:06.057,"[15, 26]"
2-stop H→M→M   ,87:06.057,"[15, 55]"
2-stop S→H→H   ,87:06.059,"[9, 24]"
2-stop S→H→H   ,87:06.059,"[9, 51]"
2-stop H→S→H   ,87:06.059,"[15, 24]"
2-stop H→S→H   ,87:06.059,"[42, 51]"
2-stop H→H→S   ,87:06.059,"[15, 57]"
2-stop H→H→S   ,87:06.059,"[42, 57]"
2-stop M→M→H   ,87:06.067,"[5, 25]"
2-stop M→M→H   ,87:06.067,"[20, 25]"
2-stop M→M→H   ,87:06.067,"[20, 61]"
2-stop M→M→H   ,87:06.067,"[41, 61]"
2-stop M→H→M   ,87:06.067,"[5, 46]"
2-stop M→H→M   ,87:06.067,"[20, 25]"
2-stop M→H→M   ,87:06.067,"[20, 61]"
2-stop M→H→M   ,87:06.067,"[41, 46]"
2-stop H→M→M   ,87:06.067,"[5, 25]"
2-stop H→M→M   ,87:06.067,"[5, 46]"
2-stop H→M→M   ,87:06.067,"[41, 46]"
2-stop H→M→M   ,87:06.067,"[41, 61]"
2-stop M→H→H   ,87:06.069,"[32, 34]"
2-stop M→H→H   ,87:06.069,"[32, 64]"
2-stop H→M→H   ,87:06.069,"[2, 34]"
2-stop H→M→H   ,87:06.069,"[32, 64]"
2-stop H→H→M   ,87:06.069,"[2, 34]"
2-stop H→H→M   ,87:06.069,"[32, 34]"
2-stop M→H→H   ,87:06.071,"[37, 48]"
2-stop M→H→H   ,87:06.071,"[37, 55]"
2-stop H→M→H   ,87:06.071,"[11, 48]"
2-stop H→M→H   ,87:06.071,"[18, 55]"
2-stop H→H→M   ,87:06.071,"[11, 29]"
2-stop H→H→M   ,87:06.071,"[18, 29]"
2-stop M→M→H   ,87:06.073,"[18, 59]"
2-stop M→M→H   ,87:06.073,"[41, 59]"
2-stop M→H→M   ,87:06.073,"[18, 25]"
2-stop M→H→M   ,87:06.073,"[41, 48]"
2-stop H→M→M   ,87:06.073,"[7, 25]"
2-stop H→M→M   ,87:06.073,"[7, 48]"
2-stop S→M→H   ,87:06.074,"[3, 24]"
2-stop S→H→M   ,87:06.074,"[3, 45]"
2-stop M→S→H   ,87:06.074,"[21, 24]"
2-stop M→H→S   ,87:06.074,"[21, 63]"
2-stop H→S→M   ,87:06.074,"[42, 45]"
2-stop H→M→S   ,87:06.074,"[42, 63]"
2-stop M→M→H   ,87:06.075,"[1, 30]"
2-stop M→M→H   ,87:06.075,"[29, 30]"
2-stop M→H→M   ,87:06.075,"[1, 37]"
2-stop M→H→M   ,87:06.075,"[29, 65]"
2-stop H→M→M   ,87:06.075,"[36, 37]"
2-stop H→M→M   ,87:06.075,"[36, 65]"
2-stop S→M→M   ,87:06.089,"[4, 23]"
2-stop S→M→M   ,87:06.089,"[4, 47]"
2-stop M→S→M   ,87:06.089,"[19, 23]"
2-stop M→S→M   ,87:06.089,"[43, 47]"
2-stop M→M→S   ,87:06.089,"[19, 62]"
2-stop M→M→S   ,87:06.089,"[43, 62]"
2-stop M→H→H   ,87:06.093,"[24, 28]"
2-stop M→H→H   ,87:06.093,"[24, 62]"
2-stop H→M→H   ,87:06.093,"[4, 28]"
2-stop H→M→H   ,87:06.093,"[38, 62]"
2-stop H→H→M   ,87:06.093,"[4, 42]"
2-stop H→H→M   ,87:06.093,"[38, 42]"
2-stop S→H→H   ,87:06.095,"[16, 19]"
2-stop S→H→H   ,87:06.095,"[16, 63]"
2-stop H→S→H   ,87:06.095,"[3, 19]"
2-stop H→S→H   ,87:06.095,"[47, 63]"
2-stop H→H→S   ,87:06.095,"[3, 50]"
2-stop H→H→S   ,87:06.095,"[47, 50]"
2-stop S→S→H   ,87:06.103,"[1, 18]"
2-stop S→S→H   ,87:06.103,"[17, 18]"
2-stop S→M→H   ,87:06.103,"[1, 34]"
2-stop S→M→H   ,87:06.103,"[41, 54]"
2-stop S→H→S   ,87:06.103,"[1, 49]"
2-stop S→H→S   ,87:06.103,"[17, 65]"
2-stop S→H→M   ,87:06.103,"[1, 33]"
2-stop S→H→M   ,87:06.103,"[41, 53]"
2-stop M→S→H   ,87:06.103,"[13, 54]"
2-stop M→S→H   ,87:06.103,"[33, 34]"
2-stop M→H→S   ,87:06.103,"[13, 25]"
2-stop M→H→S   ,87:06.103,"[33, 65]"
2-stop H→S→S   ,87:06.103,"[48, 49]"
2-stop H→S→S   ,87:06.103,"[48, 65]"
2-stop H→S→M   ,87:06.103,"[12, 53]"
2-stop H→S→M   ,87:06.103,"[32, 33]"
2-stop H→M→S   ,87:06.103,"[12, 25]"
2-stop H→M→S   ,87:06.103,"[32, 65]"
2-stop S→H→H   ,87:06.120,"[6, 34]"
2-stop S→H→H   ,87:06.120,"[6, 38]"
2-stop S→H→H   ,87:06.120,"[39, 52]"
2-stop S→H→H   ,87:06.120,"[39, 53]"
2-stop H→S→H   ,87:06.120,"[13, 52]"
2-stop H→S→H   ,87:06.120,"[14, 53]"
2-stop H→S→H   ,87:06.120,"[28, 34]"
2-stop H→S→H   ,87:06.120,"[32, 38]"
2-stop H→H→S   ,87:06.120,"[13, 27]"
2-stop H→H→S   ,87:06.120,"[14, 27]"
2-stop H→H→S   ,87:06.120,"[28, 60]"
2-stop H→H→S   ,87:06.120,"[32, 60]"
2-stop S→S→H   ,87:06.122,"[8, 50]"
2-stop S→S→H   ,87:06.122,"[42, 50]"
2-stop S→H→S   ,87:06.122,"[8, 24]"
2-stop S→H→S   ,87:06.122,"[42, 58]"
2-stop H→S→S   ,87:06.122,"[16, 24]"
2-stop H→S→S   ,87:06.122,"[16, 58]"
2-stop M→M→H   ,87:06.129,"[1, 32]"
2-stop M→M→H   ,87:06.129,"[31, 32]"
2-stop M→H→M   ,87:06.129,"[1, 35]"
2-stop M→H→M   ,87:06.129,"[31, 65]"
2-stop H→M→M   ,87:06.129,"[34, 35]"
2-stop H→M→M   ,87:06.129,"[34, 65]"
2-stop S→S→M   ,87:06.130,"[19, 64]"
2-stop S→S→M   ,87:06.130,"[45, 64]"
